em,country,sector,units,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X2018,X2019
NH3,abw,1A1a_Electricity-autoproducer,ktNH3,0.000288228,0.000279557,0.000718647,0.001122814,0.002735392,0.003499906,0.003728109,0.004076116,0.00409051,0.003891942,0.003985391,0.003902407
NH3,abw,1A1a_Electricity-public,ktNH3,0.010691396,0.010976205,0.010654448,0.010817209,0.017023241,0.020817667,0.019545624,0.020343837,0.020485114,0.011867239,0.012237509,0.011908702
NH3,abw,1A1a_Heat-production,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,abw,1A1bc_Other-transformation,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,abw,1A2a_Ind-Comb-Iron-steel,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,abw,1A2b_Ind-Comb-Non-ferrous-metals,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,abw,1A2c_Ind-Comb-Chemicals,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,abw,1A2d_Ind-Comb-Pulp-paper,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,abw,1A2e_Ind-Comb-Food-tobacco,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,abw,1A2f_Ind-Comb-Non-metalic-minerals,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,abw,1A2g_Ind-Comb-Construction,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,abw,1A2g_Ind-Comb-machinery,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,abw,1A2g_Ind-Comb-mining-quarying,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,abw,1A2g_Ind-Comb-other,ktNH3,0.002409083,0.002428651,0.002501274,0.002433645,0.003167445,0.003045288,0.003570645,0.003453138,0.003263586,0.003241938,0.003304379,0.00324893
NH3,abw,1A2g_Ind-Comb-textile-leather,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,abw,1A2g_Ind-Comb-transpequip,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,abw,1A2g_Ind-Comb-wood-products,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,abw,1A3b_Road,ktNH3,0.01302314,0.014148776,0.014984812,0.014080977,0.024425335,0.028561498,0.02515665,0.023766902,0.023357037,0.023059912,0.023779405,0.023140481
NH3,abw,1A3c_Rail,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,abw,1A3di_Oil_Tanker_Loading,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,abw,1A3dii_Domestic-navigation,ktNH3,1.82E-05,1.85E-05,1.67E-05,1.30E-05,1.30E-05,1.30E-05,1.63E-05,1.46E-05,1.63E-05,1.63E-05,1.68E-05,1.64E-05
NH3,abw,1A3eii_Other-transp,ktNH3,3.81E-05,3.72E-05,0.000114986,0.00012755,0.000248164,0.00026409,0.0002318,0.000247605,0.000238122,0.000234961,0.000242292,0.000235782
NH3,abw,1A4a_Commercial-institutional,ktNH3,6.62E-06,8.14E-06,0.00015481,0.000473653,0.001058387,0.002761547,0.001189568,0.001204851,0.001142443,0.001130981,0.001166269,0.001134932
NH3,abw,1A4b_Residential,ktNH3,0.002751843,0.003347886,0.003309655,0.002455511,0.00254635,0.002766774,0.00269724,0.002696616,0.002528609,0.002511659,0.002521912,0.002512807
NH3,abw,1A4c_Agriculture-forestry-fishing,ktNH3,0.000953613,0.001163421,0.001037839,0.001134937,0.001610046,0.001577201,0.00156274,0.001471039,0.001837844,0.001814919,0.001871546,0.00182126
NH3,abw,1A5_Other-unspecified,ktNH3,0.000231106,0.000614806,0.000160049,8.16E-05,0.00017511,0.000171343,0.000178627,0.000175727,0.000183643,0.000189094,0.000193646,0.000189604
NH3,abw,1B1_Fugitive-solid-fuels,ktNH3,0.001274145,0.001377865,0.001403504,0.001512106,0.001633353,0.001633946,0.001124507,0.001124744,0.001128793,0.001132312,0.00113543,0.00113831
NH3,abw,1B2_Fugitive-petr,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,abw,1B2b_Fugitive-NG-distr,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,abw,1B2b_Fugitive-NG-prod,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,abw,1B2d_Fugitive-other-energy,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,abw,2A1_Cement-production,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,abw,2A2_Lime-production,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,abw,2Ax_Other-minerals,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,abw,2B_Chemical-industry,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,abw,2B2_Chemicals-Nitric-acid,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,abw,2B3_Chemicals-Adipic-acid,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,abw,2C_Metal-production,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,abw,2D_Chemical-products-manufacture-processing,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,abw,2D_Degreasing-Cleaning,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,abw,2D_Other-product-use,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,abw,2D_Paint-application,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,abw,2H_Pulp-and-paper-food-beverage-wood,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,abw,2L_Other-process-emissions,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,abw,3B_Manure-management,ktNH3,0.04021709,0.04021709,0.04021709,0.04021709,0.04021709,0.04021709,0.04021709,0.04021709,0.040361872,0.040487684,0.040599174,0.040702147
NH3,abw,3D_Rice-Cultivation,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,abw,3D_Soil-emissions,ktNH3,0.018484042,0.018484042,0.018484042,0.018484042,0.018484042,0.018484042,0.018484042,0.018484042,0.018550585,0.018608409,0.01865965,0.018706977
NH3,abw,3E_Enteric-fermentation,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,abw,3I_Agriculture-other,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,abw,5A_Solid-waste-disposal,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,abw,5C_Waste-combustion,ktNH3,0.011879555,0.012064006,0.012390119,0.012728698,0.013131993,0.013571271,0.014061062,0.014061062,0.014061062,0.014061062,0.014061062,0.014061062
NH3,abw,5D_Wastewater-handling,ktNH3,0.15606668,0.15618064,0.15645938,0.15698144,0.15768522,0.15849834,0.15929914,0.15998906,0.16056502,0.16106552,0.16150904,0.16191868
NH3,abw,5E_Other-waste-handling,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,abw,6A_Other-in-total,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,abw,6B_Other-not-in-total,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,abw,7A_Fossil-fuel-fires,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,abw,7BC_Indirect-N2O-non-agricultural-N,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,afg,1A1a_Electricity-autoproducer,ktNH3,4.83E-05,7.27E-05,8.35E-05,7.74E-05,0.000104492,0.000113914,0.000131044,0.000133899,0.000137325,0.000143606,0.000149952,0.000159658
NH3,afg,1A1a_Electricity-public,ktNH3,0.012817834,0.01846267,0.019495326,0.022217668,0.021081158,0.020552631,0.024619066,0.052124285,0.086142058,0.102016852,0.179412058,0.182541365
NH3,afg,1A1a_Heat-production,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,afg,1A1bc_Other-transformation,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,afg,1A2a_Ind-Comb-Iron-steel,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,afg,1A2b_Ind-Comb-Non-ferrous-metals,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,afg,1A2c_Ind-Comb-Chemicals,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,afg,1A2d_Ind-Comb-Pulp-paper,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,afg,1A2e_Ind-Comb-Food-tobacco,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,afg,1A2f_Ind-Comb-Non-metalic-minerals,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,afg,1A2g_Ind-Comb-Construction,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,afg,1A2g_Ind-Comb-machinery,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,afg,1A2g_Ind-Comb-mining-quarying,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,afg,1A2g_Ind-Comb-other,ktNH3,0.000222864,0.000227677,0.000251338,0.000526943,0.000489962,0.00055568,0.000593841,0.000610559,0.000587565,0.000600961,0.000764369,0.000770863
NH3,afg,1A2g_Ind-Comb-textile-leather,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,afg,1A2g_Ind-Comb-transpequip,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,afg,1A2g_Ind-Comb-wood-products,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,afg,1A3b_Road,ktNH3,0.194208084,0.418914807,0.553854537,0.953029218,0.842009142,0.725913232,0.658943776,0.756483619,0.647794701,0.677947148,0.707908039,0.753723522
NH3,afg,1A3c_Rail,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,afg,1A3di_Oil_Tanker_Loading,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,afg,1A3dii_Domestic-navigation,ktNH3,0.000670337,0.001010709,0.001150135,0.003543747,0.003711478,0.003418842,0.003547316,0.003690065,0.003847089,0.004007682,0.004184802,0.004455659
NH3,afg,1A3eii_Other-transp,ktNH3,0.000440301,0.000705849,0.000981365,0.001438198,0.00159879,0.001941388,0.001777227,0.001873582,0.001948526,0.002055588,0.002146435,0.00228536
NH3,afg,1A4a_Commercial-institutional,ktNH3,0,0,0,0.000139224,0.0001307,8.81E-05,7.98E-05,8.95E-05,9.76E-05,9.81E-05,0.000101873,0.00010694
NH3,afg,1A4b_Residential,ktNH3,1.193730819,1.20164248,1.213693599,1.106757275,1.109827433,1.112333151,1.128887026,1.137796365,1.13928458,1.167997944,1.168005319,1.168015068
NH3,afg,1A4c_Agriculture-forestry-fishing,ktNH3,3.00E-05,5.90E-05,5.97E-05,0.001844457,0.001571698,0.00171756,0.001162563,0.001222591,0.001333408,0.00139308,0.001454568,0.001548598
NH3,afg,1A5_Other-unspecified,ktNH3,0.004590201,0.006072668,0.008371613,0.008480515,0.009654536,0.016178026,0.017301901,0.022662582,0.022954926,0.023414982,0.040675906,0.041521152
NH3,afg,1B1_Fugitive-solid-fuels,ktNH3,1.3748429,1.413426666,1.458151245,1.461168641,1.505220099,1.609423272,1.563205284,1.597827738,1.639257901,1.678518806,1.716174346,1.753169909
NH3,afg,1B2_Fugitive-petr,ktNH3,2.24E-06,3.37E-06,3.62E-06,4.16E-06,4.17E-06,4.55E-06,5.25E-06,5.33E-06,4.97E-06,4.44E-06,4.63E-06,4.81E-06
NH3,afg,1B2b_Fugitive-NG-distr,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,afg,1B2b_Fugitive-NG-prod,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,afg,1B2d_Fugitive-other-energy,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,afg,2A1_Cement-production,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,afg,2A2_Lime-production,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,afg,2Ax_Other-minerals,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,afg,2B_Chemical-industry,ktNH3,0.06212731,0.064221168,0.065814039,0.067042949,0.070018877,0.071838694,0.070674012,0.069509329,0.07131164,0.073019583,0.074657689,0.076267085
NH3,afg,2B2_Chemicals-Nitric-acid,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,afg,2B3_Chemicals-Adipic-acid,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,afg,2C_Metal-production,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,afg,2D_Chemical-products-manufacture-processing,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,afg,2D_Degreasing-Cleaning,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,afg,2D_Other-product-use,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,afg,2D_Paint-application,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,afg,2H_Pulp-and-paper-food-beverage-wood,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,afg,2L_Other-process-emissions,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,afg,3B_Manure-management,ktNH3,56.20062,57.63811493,59.23738974,61.03165797,62.97565192,65.00027737,67.00225413,68.90688672,70.69357714,72.38671759,74.01062609,75.6060728
NH3,afg,3D_Rice-Cultivation,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,afg,3D_Soil-emissions,ktNH3,39.3465849,40.35298868,41.47265608,42.72884021,44.08984874,45.50730814,46.90891098,48.24236225,49.49324109,50.6786247,51.81553839,52.9325257
NH3,afg,3E_Enteric-fermentation,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,afg,3I_Agriculture-other,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,afg,5A_Solid-waste-disposal,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,afg,5C_Waste-combustion,ktNH3,1.210279332,1.249168768,1.289708955,1.334711189,1.383158274,1.433383167,1.483036148,1.483036148,1.483036148,1.483036148,1.483036148,1.483036148
NH3,afg,5D_Wastewater-handling,ktNH3,39.747297,40.33808446,41.07436959,41.86755057,42.79398858,43.86362024,45.2145983,46.49988637,47.70558446,48.84815296,49.94400222,51.02064484
NH3,afg,5E_Other-waste-handling,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,afg,6A_Other-in-total,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,afg,6B_Other-not-in-total,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
